TopographyDrainage,RiverManagement,Deforestation,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,WetlandLoss,InadequatePlanning,PoliticalFactors,rainfall_today,rainfall_last_3_days,rainfall_last_7_days,flood_reports_24h,waste_reports_24h,population_density,elevation,river_distance,drainage_score,climate_stress_index,drainage_risk_index,development_pressure,ecological_pressure,preparedness_gap,infrastructure_decay,agriculture_pressure,coastal_exposure,target
6,6,4,7,5,4,1,4,5,2,7,3,6,3,6,5,11,16,5,3,1,6,6,0,30,19,3,19,7,14,5,5,42.0
6,4,4,8,7,5,2,2,2,4,4,9,6,5,1,3,12,15,3,10,7,6,4,7,27,25,70,18,7,17,7,2,52.5
5,3,7,5,6,6,3,9,5,1,7,3,5,6,5,2,7,9,2,4,6,5,3,5,10,18,24,20,15,14,9,5,49.0
8,3,4,7,6,7,6,4,4,4,3,6,7,6,4,4,12,16,4,6,8,8,3,5,32,23,48,18,10,16,13,4,55.00000000000001
3,7,5,8,4,2,6,3,2,10,2,5,1,3,5,5,12,17,5,9,4,3,7,4,35,22,36,18,6,14,8,2,47.5
6,11,3,9,4,6,1,9,3,8,6,3,7,8,6,9,15,24,9,5,2,6,11,6,54,32,10,24,17,13,7,3,59.0
2,8,4,3,4,3,7,2,3,7,7,6,2,9,11,6,10,16,6,4,6,2,8,7,24,20,24,20,11,21,10,3,52.5
4,7,3,4,5,8,6,4,10,2,2,5,6,1,6,1,5,6,1,5,6,4,7,10,4,25,30,13,5,16,14,10,49.5
6,6,8,8,7,10,2,2,5,5,4,3,6,5,3,3,10,13,3,5,5,6,6,3,21,23,25,23,7,13,12,5,51.5
6,6,3,4,6,7,3,7,6,7,9,8,4,5,5,5,13,18,5,3,4,6,6,2,40,18,12,23,12,19,10,6,54.0
3,7,5,2,4,15,4,1,6,3,3,7,7,4,8,8,12,20,8,9,8,3,7,6,32,18,72,18,5,19,19,6,56.99999999999999
4,2,3,5,7,4,3,7,2,3,6,4,3,6,7,2,7,9,2,7,5,4,2,3,10,14,35,15,13,18,7,2,44.0
3,9,6,7,4,8,5,6,4,3,5,5,7,4,7,4,11,15,4,3,3,3,9,6,28,25,9,21,10,16,13,4,53.0
4,5,7,10,2,3,4,3,7,6,2,6,4,2,1,4,15,19,4,6,2,4,5,6,44,25,12,19,5,9,7,7,47.5
3,3,7,5,5,4,7,5,5,2,5,7,3,9,4,5,7,12,5,8,4,3,3,6,10,17,32,17,14,16,11,5,49.5
8,3,7,4,7,4,2,3,3,7,4,3,6,6,7,2,6,8,2,6,2,8,3,4,8,19,12,24,9,17,6,3,46.0
5,5,7,6,2,3,7,6,7,4,5,3,6,7,2,4,9,13,4,4,1,5,5,5,20,21,4,22,13,7,10,7,47.0
4,3,3,4,3,6,3,7,9,5,3,2,2,3,4,7,8,15,7,5,4,4,3,5,7,16,20,13,10,9,9,9,41.5
8,9,6,3,3,10,6,7,5,3,6,6,4,6,8,6,11,17,6,2,4,8,9,8,30,28,8,19,13,17,16,5,57.49999999999999
5,6,5,7,9,6,4,4,4,11,5,1,3,4,3,3,8,11,3,6,3,5,6,1,15,19,18,24,8,13,10,4,47.5
6,4,6,1,7,11,1,2,7,4,3,7,3,9,6,3,6,9,3,7,4,6,4,8,9,19,28,16,11,20,12,7,51.0
5,6,3,3,5,4,7,6,7,2,6,5,4,3,5,5,12,17,5,3,3,5,6,8,35,22,9,15,9,15,11,7,48.5
3,2,8,3,6,8,5,3,6,5,2,3,5,1,4,6,15,21,6,7,4,3,2,6,54,14,28,20,4,13,13,6,48.0
6,3,4,4,4,5,6,3,5,7,3,7,5,6,3,4,4,8,4,10,3,6,3,2,0,15,30,19,9,14,11,5,45.0
3,2,5,2,7,5,5,3,5,2,2,3,5,6,6,7,11,18,7,5,5,3,2,3,28,10,25,14,9,16,10,5,42.5
4,4,2,5,6,4,7,5,4,3,4,8,2,7,4,2,10,12,2,6,2,4,4,7,16,20,12,11,12,18,11,4,47.0
1,5,4,2,7,4,5,6,6,7,5,9,4,8,5,2,11,13,2,9,11,1,5,7,18,15,99,20,14,21,9,6,57.99999999999999
4,8,1,3,5,3,9,1,11,2,7,3,6,4,4,6,9,15,6,1,4,4,8,4,18,19,4,16,5,12,12,11,44.5
6,5,4,6,5,6,2,3,4,8,5,7,13,10,2,3,10,13,3,3,5,6,5,7,21,24,15,30,13,14,8,4,55.50000000000001
5,5,6,5,4,7,9,2,3,2,2,4,2,7,9,8,12,20,8,4,6,5,5,4,32,19,24,12,9,17,16,3,49.0
9,3,7,6,8,7,2,1,9,8,7,5,5,9,7,2,5,7,2,3,10,9,3,6,6,24,30,27,10,20,9,9,58.5
2,4,0,5,7,6,7,4,3,6,2,4,3,5,3,4,15,19,4,4,7,2,4,6,44,17,28,11,9,14,13,3,46.5
2,6,4,6,1,2,7,0,4,4,3,2,5,7,3,5,10,15,5,6,7,2,6,3,25,17,42,16,7,6,9,4,41.0
8,7,6,4,6,9,4,5,3,7,5,7,3,6,4,4,10,14,4,9,6,8,7,3,24,22,54,21,11,17,13,3,56.00000000000001
3,6,3,5,1,8,7,3,4,3,8,1,9,4,4,3,8,11,3,4,4,3,6,5,15,19,16,23,7,6,15,4,45.0
6,3,8,3,6,5,5,3,5,11,7,7,3,6,6,5,10,15,5,6,8,6,3,3,25,15,48,29,9,19,10,5,55.50000000000001
4,6,5,7,2,7,7,4,5,6,7,7,8,4,7,4,8,12,4,4,5,4,6,4,16,21,20,26,8,16,14,5,53.5
9,4,4,6,2,3,7,1,5,5,4,3,8,6,4,6,7,13,6,3,7,9,4,4,6,23,21,21,7,9,10,5,46.0
4,10,4,6,5,5,3,5,2,4,8,2,4,6,12,3,5,8,3,2,3,4,10,1,6,21,6,20,11,19,8,2,45.5
4,6,5,7,3,1,7,2,2,6,3,7,5,6,3,2,5,7,2,4,4,4,6,6,6,23,16,19,8,13,8,2,43.0
6,5,4,1,2,3,6,2,1,1,5,9,4,4,5,3,8,11,3,9,3,6,5,3,15,15,27,14,6,16,9,1,40.5
6,7,5,4,7,8,2,5,8,4,7,9,11,5,8,6,10,16,6,3,4,6,7,3,24,20,12,27,10,24,10,8,57.99999999999999
4,5,4,4,3,3,8,3,3,5,5,5,4,5,6,3,9,12,3,6,2,4,5,4,18,17,12,18,8,14,11,3,44.0
6,1,6,1,6,6,4,5,8,3,3,8,5,5,3,4,13,17,4,7,3,6,1,2,36,10,21,17,10,17,10,8,47.5
4,8,4,4,5,4,3,7,4,4,4,7,4,3,3,3,4,7,3,10,4,4,8,2,3,18,40,16,10,15,7,4,44.0
6,4,9,3,7,1,3,2,3,5,3,5,7,6,8,3,10,13,3,3,6,6,4,9,21,22,18,24,8,20,4,3,50.0
3,5,7,6,3,6,9,2,7,7,9,0,4,4,4,6,9,15,6,6,4,3,5,6,18,20,24,27,6,7,15,7,50.5
5,6,3,3,4,4,5,4,5,2,7,3,9,5,2,7,8,15,7,11,4,5,6,4,7,18,44,21,9,9,9,5,47.0
3,3,8,3,6,2,6,6,7,2,11,7,6,3,6,1,3,4,1,6,2,3,3,4,2,13,12,27,9,19,8,7,47.0
6,3,3,5,10,7,5,6,4,6,10,7,6,6,2,3,7,10,3,9,8,6,3,8,12,22,72,25,12,19,12,4,59.0
4,6,1,4,9,5,5,6,5,2,8,3,6,4,3,6,8,14,6,10,5,4,6,5,12,19,50,17,10,15,10,5,49.5
3,4,5,5,8,2,0,6,4,3,4,8,3,5,2,11,16,27,11,8,7,3,4,9,55,21,56,15,11,18,2,4,51.0
3,4,5,3,9,5,2,5,10,5,13,6,4,5,8,6,9,15,6,4,3,3,4,6,18,16,12,27,10,23,7,10,54.50000000000001
2,5,5,5,2,3,3,5,7,5,1,5,5,8,6,4,13,17,4,3,6,2,5,5,36,17,18,16,13,13,6,7,47.0
3,5,4,7,3,7,5,7,4,8,5,7,8,9,8,5,13,18,5,9,4,3,5,5,40,20,36,25,16,18,12,4,60.5
4,2,10,4,4,6,6,7,5,6,4,5,9,8,3,5,9,14,5,3,1,4,2,0,20,10,3,29,15,12,12,5,48.0
3,4,7,5,4,3,4,2,6,2,2,7,6,4,3,9,17,26,9,9,5,3,4,6,72,18,45,17,6,14,7,6,49.5
6,3,2,4,5,4,2,4,2,4,3,10,6,5,7,5,9,14,5,5,5,6,3,6,20,19,25,15,9,22,6,2,46.0
3,4,5,6,6,7,7,2,4,2,2,2,2,8,2,3,8,11,3,4,1,3,4,4,15,17,4,11,10,10,14,4,39.5
6,0,5,2,3,4,3,8,4,6,5,2,3,3,4,7,15,22,7,4,7,6,0,2,56,10,28,19,11,9,7,4,43.0
4,5,4,5,1,3,3,5,5,3,3,4,4,5,5,8,13,21,8,5,1,4,5,5,40,19,5,14,10,10,6,5,41.5
5,7,8,4,2,5,1,8,6,4,5,4,3,8,6,6,9,15,6,6,2,5,7,5,18,21,12,20,16,12,6,6,49.0
6,2,6,4,7,3,8,5,6,5,2,3,4,2,6,6,10,16,6,11,10,6,2,3,24,15,110,17,7,16,11,6,51.5
6,2,7,2,8,10,5,3,9,5,6,5,5,3,10,9,13,22,9,5,6,6,2,3,36,13,30,23,6,23,15,9,56.49999999999999
2,7,4,6,5,4,1,6,6,5,6,12,1,4,8,5,5,10,5,2,3,2,7,5,0,20,6,16,10,25,5,6,46.0
4,3,8,2,4,2,8,8,8,6,5,3,4,5,6,5,8,13,5,7,4,4,3,2,15,11,28,23,13,13,10,8,48.5
10,5,4,3,4,2,5,7,6,6,5,3,6,3,8,6,14,20,6,4,4,10,5,8,48,26,16,21,10,15,7,6,53.5
7,5,3,4,4,5,5,5,7,6,7,8,2,9,3,5,12,17,5,4,2,7,5,5,35,21,8,18,14,15,10,7,51.5
5,7,2,5,6,7,4,4,3,7,10,6,4,4,3,8,12,20,8,6,4,5,7,5,32,22,24,23,8,15,11,3,52.0
6,6,5,7,5,3,5,5,7,6,4,10,7,4,8,5,14,19,5,6,6,6,6,3,45,22,36,22,9,23,8,7,58.5
2,7,4,3,5,5,4,5,5,3,1,3,6,7,4,3,11,14,3,3,8,2,7,7,24,19,24,14,12,12,9,5,46.5
8,7,2,8,7,7,4,6,2,6,7,4,3,1,6,5,8,13,5,5,4,8,7,5,15,28,20,18,7,17,11,2,50.0
6,5,7,6,10,5,7,3,6,3,1,7,7,2,5,5,10,15,5,5,7,6,5,3,25,20,35,18,5,22,12,6,52.5
6,7,4,5,8,2,6,4,8,3,3,5,3,5,5,8,13,21,8,5,7,6,7,5,40,23,35,13,9,18,8,8,52.0
5,5,6,3,6,4,9,4,1,5,1,4,3,4,3,4,6,10,4,3,5,5,5,3,8,16,15,15,8,13,13,1,40.0
7,3,5,4,2,11,4,6,9,4,3,3,2,4,1,1,5,6,1,3,9,7,3,4,4,18,27,14,10,6,15,9,44.5
4,5,4,4,4,5,3,3,8,6,0,1,3,5,2,5,10,15,5,6,8,4,5,4,25,17,48,13,8,7,8,8,42.5
4,4,6,1,3,4,4,5,2,3,3,6,3,5,4,4,9,13,4,2,4,4,4,2,20,11,8,15,10,13,8,2,37.0
5,7,8,4,3,9,8,5,4,2,3,5,4,5,4,6,10,16,6,3,3,5,7,4,24,20,9,17,10,12,17,4,48.0
4,4,7,6,6,1,3,8,4,7,4,4,5,4,4,7,14,21,7,4,7,4,4,1,49,15,28,23,12,14,4,4,48.5
11,7,6,1,2,4,4,9,5,5,6,3,6,4,4,6,7,13,6,1,7,11,7,5,6,24,7,23,13,9,8,5,48.5
6,4,3,4,6,7,12,4,8,1,1,5,5,3,5,5,9,14,5,5,2,6,4,4,20,18,10,10,7,16,19,8,47.0
4,6,7,5,7,7,7,5,4,5,5,4,5,4,8,3,6,9,3,2,6,4,6,2,9,17,12,22,9,19,14,4,49.5
6,5,10,5,9,6,6,4,2,6,6,6,5,6,10,9,16,25,9,2,6,6,5,4,63,20,12,27,10,25,12,2,60.0
1,4,6,7,5,5,9,3,5,3,6,5,8,1,1,4,15,19,4,7,4,1,4,4,44,16,28,23,4,11,14,5,49.5
8,4,3,6,5,5,6,3,5,5,2,5,5,5,6,6,9,15,6,3,5,8,4,4,18,22,15,15,8,16,11,5,47.0
4,8,6,8,5,6,2,8,5,5,6,10,5,6,3,7,12,19,7,7,3,4,8,4,35,24,21,22,14,18,8,5,56.49999999999999
5,4,4,4,3,2,5,6,7,5,10,3,3,4,5,6,9,15,6,3,2,5,4,7,18,20,6,22,10,11,7,7,45.5
4,5,3,7,7,4,4,4,5,3,5,5,7,4,5,0,5,5,0,6,0,4,5,4,0,20,0,18,8,17,8,5,43.5
4,5,10,5,7,6,1,6,5,7,8,3,6,7,2,4,11,15,4,3,5,4,5,5,28,19,15,31,13,12,7,5,53.0
2,3,4,5,4,4,5,4,6,4,7,4,5,7,6,6,13,19,6,4,4,2,3,7,42,17,16,20,11,14,9,6,49.0
3,4,6,8,2,4,7,6,7,6,7,4,7,5,5,3,7,10,3,7,5,3,4,2,12,17,35,26,11,11,11,7,51.0
4,3,6,6,6,5,8,3,3,2,5,7,3,7,6,4,6,10,4,4,1,4,3,6,8,19,4,16,10,19,13,3,45.5
3,6,12,8,9,6,7,6,4,2,3,3,8,5,5,12,17,29,12,1,3,3,6,6,60,23,3,25,11,17,13,4,56.99999999999999
5,4,5,3,1,5,6,11,4,2,2,4,6,2,10,4,11,15,4,1,7,5,4,4,28,16,7,15,13,15,11,4,46.5
6,4,3,4,0,3,10,6,4,6,5,9,5,5,3,5,9,14,5,4,4,6,4,6,20,20,16,19,11,12,13,4,48.0
3,7,4,4,3,5,3,6,7,5,7,6,5,2,3,6,15,21,6,4,5,3,7,3,54,17,20,21,8,12,8,7,48.5
2,2,3,5,7,3,5,3,2,2,2,5,6,7,6,3,9,12,3,7,3,2,2,4,18,13,21,13,10,18,8,2,41.5
7,1,6,4,6,5,7,3,8,1,6,6,10,7,6,5,13,18,5,5,7,7,1,3,40,15,35,23,10,18,12,8,55.50000000000001
4,4,3,8,3,5,4,6,5,2,3,4,9,4,3,7,11,18,7,5,6,4,4,5,28,21,30,17,10,10,9,5,47.0
5,1,7,6,5,9,10,2,3,1,8,3,7,6,10,6,14,20,6,4,3,5,1,8,48,20,12,23,8,18,19,3,56.00000000000001
2,6,2,2,3,11,9,3,4,4,7,2,5,4,4,3,6,9,3,5,14,2,6,6,9,16,70,18,7,9,20,4,49.5
8,5,3,5,1,5,5,10,1,10,4,3,3,7,6,4,10,14,4,4,6,8,5,5,24,23,24,20,17,10,10,1,50.5
4,5,4,5,7,4,8,5,4,3,2,7,5,2,4,3,8,11,3,7,1,4,5,5,15,19,7,14,7,18,12,4,45.0
3,3,4,2,3,6,7,12,5,6,7,3,7,8,7,3,13,16,3,2,4,3,3,7,30,15,8,24,20,13,13,5,54.50000000000001
3,3,4,3,3,6,8,1,5,7,2,3,6,6,3,6,8,14,6,5,3,3,3,1,12,10,15,19,7,9,14,5,40.0
6,9,4,10,7,4,4,3,3,7,2,4,8,4,5,6,9,15,6,5,11,6,9,6,18,31,55,21,7,16,8,3,55.50000000000001
4,9,7,6,6,3,9,5,4,2,8,7,2,6,5,4,8,12,4,4,5,4,9,4,16,23,20,19,11,18,12,4,52.0
7,3,2,7,5,5,4,7,2,6,6,4,7,7,3,5,11,16,5,4,3,7,3,6,30,23,12,21,14,12,9,2,49.5
3,4,4,7,9,6,6,9,6,4,9,4,6,5,8,11,15,26,11,4,8,3,4,5,44,19,32,23,14,21,12,6,61.0
8,7,3,4,2,5,2,5,6,7,5,8,7,6,3,6,11,17,6,4,5,8,7,3,30,22,20,22,11,13,7,6,50.5
3,8,3,4,2,3,1,4,5,3,3,7,4,7,5,5,9,14,5,6,7,3,8,5,20,20,42,13,11,14,4,5,44.5
9,4,2,8,3,4,9,3,4,4,8,5,6,10,5,2,7,9,2,11,5,9,4,1,10,22,55,20,13,13,13,4,54.0
4,7,5,2,7,6,10,5,5,2,3,5,6,7,7,4,9,13,4,5,5,4,7,6,20,19,25,16,12,19,16,5,53.0
5,9,5,5,2,3,3,4,9,5,4,6,6,6,12,6,11,17,6,5,5,5,9,2,30,21,25,20,10,20,6,9,53.5
6,7,7,8,4,2,5,4,7,6,4,5,8,7,7,1,5,6,1,5,6,6,7,6,4,27,30,25,11,16,7,7,54.50000000000001
3,5,8,6,1,5,0,5,7,5,6,7,1,6,5,5,8,13,5,10,6,3,5,3,15,17,60,20,11,13,5,7,48.5
5,7,4,6,4,3,1,7,2,8,2,4,8,7,4,4,5,9,4,6,4,5,7,4,4,22,24,22,14,12,4,2,45.5
6,2,5,3,5,4,3,5,7,3,3,9,4,5,5,5,13,18,5,4,4,6,2,2,40,13,16,15,10,19,7,7,46.0
2,8,4,5,3,3,8,7,7,2,5,5,3,3,5,4,9,13,4,3,9,2,8,4,20,19,27,14,10,13,11,7,47.5
4,3,7,5,5,5,7,5,2,3,3,5,4,6,9,6,7,13,6,8,4,4,3,11,6,23,32,17,11,19,12,2,51.5
4,1,9,5,5,5,5,3,4,2,5,4,6,3,4,6,13,19,6,3,4,4,1,3,42,13,12,22,6,13,10,4,44.0
5,3,4,4,4,3,6,6,8,3,1,7,4,5,5,10,18,28,10,3,4,5,3,6,80,18,12,12,11,16,9,8,49.5
6,6,3,7,5,1,6,7,3,6,4,4,3,8,2,4,9,13,4,2,6,6,6,4,20,23,12,16,15,11,7,3,46.0
5,6,2,11,2,4,6,2,4,5,3,5,4,1,7,6,11,17,6,3,10,5,6,3,30,25,30,14,3,14,10,4,47.0
3,4,3,7,8,5,9,3,7,7,6,4,5,5,4,8,13,21,8,3,6,3,4,8,40,22,18,21,8,16,14,7,55.00000000000001
3,4,7,5,2,3,3,5,9,6,4,3,5,5,1,8,11,19,8,7,10,3,4,3,24,15,70,22,10,6,6,9,48.0
7,4,6,9,3,7,8,4,3,4,6,4,6,6,6,3,9,12,3,3,2,7,4,3,18,23,6,22,10,13,15,3,50.0
10,4,7,3,8,6,4,5,2,3,5,5,4,6,6,9,11,20,9,8,3,10,4,9,18,26,24,19,11,19,10,2,54.50000000000001
5,7,7,3,8,2,5,4,7,5,5,8,4,11,3,2,3,5,2,7,5,5,7,9,2,24,35,21,15,19,7,7,54.0
5,6,3,4,6,5,6,6,5,3,7,3,7,5,5,7,13,20,7,4,6,5,6,4,42,19,24,20,11,14,11,5,51.5
11,3,4,4,4,4,6,2,4,5,9,5,3,6,4,8,16,24,8,6,3,11,3,4,64,22,18,21,8,13,10,4,51.5
3,6,8,4,9,5,7,5,6,7,4,8,3,8,2,8,13,21,8,9,7,3,6,10,40,23,63,22,13,19,12,6,62.0
5,8,5,0,10,3,7,7,4,8,4,4,5,6,4,8,16,24,8,4,4,5,8,3,64,16,16,22,13,18,10,4,53.5
6,4,2,5,10,6,5,5,10,2,5,4,5,8,3,11,15,26,11,6,3,6,4,11,44,26,18,14,13,17,11,10,57.49999999999999
1,7,7,8,4,5,4,5,2,7,8,5,6,8,6,5,11,16,5,8,3,1,7,7,30,23,24,28,13,15,9,2,56.00000000000001
10,5,4,7,6,4,8,4,4,9,6,7,4,3,8,9,15,24,9,5,3,10,5,3,54,25,15,23,7,21,12,4,57.49999999999999
6,2,5,6,9,5,5,5,5,4,7,6,2,6,8,4,8,12,4,3,8,6,2,6,16,20,24,18,11,23,10,5,53.0
6,7,7,6,10,2,9,8,5,6,6,3,7,4,6,5,11,16,5,6,8,6,7,4,30,23,48,26,12,19,11,5,60.5
6,7,9,7,3,4,4,6,11,4,3,4,4,8,2,7,11,18,7,4,3,6,7,3,28,23,12,20,14,9,8,11,51.5
5,5,1,6,3,8,4,5,4,4,5,7,5,6,6,7,11,18,7,4,5,5,5,2,28,18,20,15,11,16,12,4,48.0
6,7,8,5,7,6,4,7,3,2,5,6,3,4,7,7,15,22,7,5,8,6,7,5,56,23,40,18,11,20,10,3,56.49999999999999
1,3,8,7,2,6,7,6,5,4,6,7,4,8,6,2,4,6,2,8,8,1,3,7,4,18,64,22,14,15,13,5,53.5
9,8,6,3,2,3,3,3,8,5,7,3,2,7,6,4,8,12,4,2,2,9,8,5,16,25,4,20,10,11,6,8,46.0
3,6,9,5,3,7,1,5,6,3,3,1,6,4,3,4,15,19,4,4,5,3,6,3,44,17,20,21,9,7,8,6,46.0
8,4,6,3,6,6,7,1,5,4,6,7,5,0,6,3,7,10,3,3,5,8,4,2,12,17,15,21,1,19,13,5,45.5
4,5,8,8,7,5,8,5,5,2,4,4,4,4,7,2,6,8,2,3,8,4,5,3,8,20,24,18,9,18,13,5,50.0
5,0,6,6,5,8,2,3,5,7,2,10,3,9,4,9,15,24,9,9,6,5,0,7,54,18,54,18,12,19,10,5,56.00000000000001
3,5,2,3,8,6,4,5,1,8,3,4,5,5,3,5,16,21,5,8,9,3,5,7,55,18,72,18,10,15,10,1,52.5
7,2,5,9,4,12,3,8,6,5,5,7,2,6,6,3,5,8,3,7,4,7,2,4,6,22,28,17,14,17,15,6,53.5
8,4,4,9,5,5,5,4,8,6,2,5,6,2,2,3,12,15,3,10,4,8,4,4,27,25,40,18,6,12,10,8,52.5
2,2,1,5,3,7,5,3,7,6,6,3,2,4,1,6,11,17,6,8,5,2,2,6,30,15,40,15,7,7,12,7,43.5
7,3,4,4,7,4,4,5,4,4,4,3,7,4,4,6,9,15,6,6,4,7,3,7,18,21,24,19,9,14,8,4,47.0
5,6,5,3,3,8,4,5,5,5,9,5,5,5,3,3,7,10,3,7,4,5,6,4,12,18,28,24,10,11,12,5,49.0
6,5,5,4,5,3,7,4,5,5,5,9,4,5,5,6,12,18,6,4,6,6,5,5,36,20,24,19,9,19,10,5,52.0
1,3,9,3,4,3,5,6,4,7,6,7,7,5,7,4,7,11,4,4,2,1,3,3,12,10,8,29,11,18,8,4,46.5
2,4,4,7,6,7,7,3,2,1,5,9,3,2,3,5,10,15,5,5,10,2,4,4,25,17,50,13,5,18,14,2,47.0
8,5,6,6,2,5,4,5,2,4,7,3,6,3,6,11,14,25,11,6,4,8,5,5,33,24,24,23,8,11,9,2,50.5
3,5,6,5,4,2,9,6,3,2,8,7,8,7,10,4,7,11,4,6,3,3,5,5,12,18,18,24,13,21,11,3,53.0
3,9,5,7,5,5,4,3,6,3,4,2,7,9,5,2,3,5,2,5,10,3,9,4,2,23,50,19,12,12,9,6,49.5
6,6,8,4,2,2,8,6,7,7,3,5,4,3,7,4,9,13,4,4,5,6,6,8,20,24,20,22,9,14,10,7,52.0
3,3,3,8,4,3,7,6,4,4,3,4,5,8,5,5,11,16,5,4,6,3,3,4,30,18,24,15,14,13,10,4,47.5
8,5,4,1,9,2,12,1,6,7,4,4,6,3,2,11,17,28,11,5,4,8,5,7,66,21,20,21,4,15,14,6,53.5
6,3,4,8,6,11,5,5,7,3,6,9,4,8,5,2,4,6,2,4,3,6,3,9,4,26,12,17,13,20,16,7,55.00000000000001
6,8,6,6,6,3,1,7,4,7,5,5,3,9,5,6,13,19,6,8,8,6,8,6,42,26,64,21,16,16,4,4,57.99999999999999
2,6,10,4,6,3,5,6,7,6,2,2,5,6,4,5,14,19,5,6,3,2,6,6,45,18,18,23,12,12,8,7,51.5
4,3,4,1,2,6,7,6,9,5,3,8,5,2,9,5,8,13,5,2,5,4,3,4,15,12,10,17,8,19,13,9,46.5
3,7,1,10,2,5,7,2,4,3,6,5,3,5,0,4,10,14,4,6,3,3,7,5,24,25,18,13,7,7,12,4,43.5
2,4,3,5,6,8,3,5,4,7,5,7,4,1,4,4,12,16,4,5,3,2,4,8,32,19,15,19,6,17,11,4,48.0
4,2,5,4,5,7,2,4,4,7,6,5,8,2,8,7,12,19,7,6,4,4,2,8,35,18,24,26,6,18,9,4,51.5
2,4,2,10,2,10,6,1,2,2,1,0,4,8,5,2,4,6,2,3,3,2,4,6,4,22,9,9,9,7,16,2,37.5
10,6,3,3,5,8,6,10,6,6,0,7,5,3,3,4,9,13,4,8,4,10,6,4,20,23,32,14,13,15,14,6,53.0
1,5,7,5,4,7,4,5,6,3,5,1,2,7,2,7,9,16,7,1,6,1,5,6,14,17,6,17,12,7,11,6,43.0
5,10,7,2,1,3,3,7,4,4,7,6,7,3,4,6,10,16,6,4,5,5,10,6,24,23,20,25,10,11,6,4,49.0
3,7,6,2,3,8,6,3,4,9,7,3,5,5,10,7,11,18,7,7,4,3,7,2,28,14,28,27,8,16,14,4,52.5
5,4,3,5,3,8,9,5,5,5,2,5,6,4,0,5,6,11,5,7,4,5,4,5,5,19,28,16,9,8,17,5,45.5
3,4,4,1,3,3,4,5,5,3,2,3,4,8,4,2,6,8,2,6,6,3,4,3,8,11,36,13,13,10,7,5,38.5
5,3,3,6,4,2,2,7,0,7,6,6,7,8,7,4,6,10,4,7,2,5,3,7,8,21,14,23,15,17,4,0,47.5
2,5,6,3,6,4,8,1,2,5,7,3,5,5,5,5,12,17,5,4,5,2,5,4,35,14,20,23,6,14,12,2,46.0
7,5,11,3,5,3,3,3,11,10,4,4,8,4,4,5,11,16,5,4,8,7,5,8,30,23,32,33,7,13,6,11,57.99999999999999
7,4,5,5,6,3,6,1,4,6,6,5,3,5,3,5,9,14,5,3,3,7,4,3,20,19,9,20,6,14,9,4,43.5
4,8,5,7,4,7,5,5,5,4,3,5,5,7,3,3,8,11,3,5,3,4,8,4,15,23,15,17,12,12,12,5,48.5
6,5,6,7,8,3,2,6,4,5,5,4,4,3,7,6,14,20,6,5,6,6,5,9,48,27,30,20,9,19,5,4,54.50000000000001
0,8,4,8,5,12,6,2,5,5,5,5,3,5,5,7,12,19,7,6,4,0,8,5,35,21,24,17,7,15,18,5,52.5
5,7,3,6,6,2,7,3,4,2,5,7,7,7,8,5,9,14,5,6,2,5,7,4,20,22,12,17,10,21,9,4,50.0
2,9,8,5,5,7,4,5,7,7,7,4,5,6,4,2,8,10,2,3,9,2,9,5,12,21,27,27,11,13,11,7,55.00000000000001
3,5,6,6,4,3,3,1,7,5,6,4,7,5,7,5,11,16,5,5,4,3,5,2,30,16,20,24,6,15,6,7,47.0
5,6,2,3,6,6,4,4,7,5,5,3,5,5,4,2,5,7,2,1,6,5,6,5,6,19,6,17,9,13,10,7,43.5
6,6,2,2,2,4,3,6,5,11,7,4,3,7,6,8,12,20,8,4,7,6,6,4,32,18,28,23,13,12,7,5,50.5
3,2,8,3,4,9,8,6,4,3,8,1,7,6,7,5,7,12,5,4,3,3,2,7,10,15,12,26,12,12,17,4,50.0
4,5,6,7,8,5,1,7,0,7,7,6,9,7,8,2,7,9,2,7,5,4,5,4,10,20,35,29,14,22,6,0,55.00000000000001
5,7,5,2,7,6,9,3,4,7,6,8,8,4,2,3,5,8,3,3,5,5,7,3,6,17,15,26,7,17,15,4,49.5
3,5,8,7,2,7,4,4,8,5,6,4,3,6,8,5,13,18,5,4,3,3,5,3,40,18,12,22,10,14,11,8,51.5
9,10,4,5,4,5,5,5,6,6,9,8,5,6,3,4,8,12,4,6,5,9,10,5,16,29,30,24,11,15,10,6,56.99999999999999
3,9,5,3,6,6,7,6,4,11,5,3,2,4,9,8,13,21,8,3,2,3,9,8,40,23,6,23,10,18,13,4,54.50000000000001
2,3,4,10,6,4,11,4,2,7,6,5,4,6,5,10,12,22,10,6,5,2,3,6,20,21,30,21,10,16,15,2,54.0
7,8,4,6,5,4,5,2,5,7,3,4,3,6,4,4,9,13,4,9,8,7,8,4,20,25,72,17,8,13,9,5,51.5
4,4,5,1,3,7,5,2,3,5,7,8,6,4,2,7,10,17,7,5,4,4,4,5,21,14,20,23,6,13,12,3,45.0
6,3,2,5,3,2,5,5,7,9,4,3,5,5,7,6,12,18,6,5,6,6,3,2,36,16,30,20,10,13,7,7,48.0
8,8,11,5,5,8,5,8,3,4,2,5,7,7,5,5,11,16,5,3,8,8,8,8,30,29,24,24,15,15,13,3,60.5
